Id,Label,Jaccard Similarity,,,,,,,,
Chart-12-incorrect-1624652314232,INCORRECT,0.085714286,,,,,,,,
Chart-12-incorrect-1624652314230,INCORRECT,0.088235294,,,,,,,,
Chart-13-incorrect-1624652314250,INCORRECT,0.271507016,,,,,,,,
Chart-13-incorrect-1624652314248,INCORRECT,0.271507016,,,,,,,,
Chart-13-incorrect-1624652314247,INCORRECT,0.433962264,,,,,,,,
Chart-13-incorrect-1624652314245,INCORRECT,0.271507016,,,,,,,,
Chart-13-incorrect-1624652314242,INCORRECT,0.433962264,,,,,,,,
Chart-15-incorrect-1628244108371,INCORRECT,0.238095238,,,,,,,,
Chart-15-incorrect-1628244108370,INCORRECT,0.444444444,,,,,,,,
Chart-15-incorrect-1628244108373,INCORRECT,0.333333333,,,,,,,,
Chart-15-incorrect-1628244108372,INCORRECT,0.3,,,,,,,,
Chart-15-incorrect-1624652314261,INCORRECT,0.444444444,,,,,,,,
Chart-15-incorrect-1624652314262,INCORRECT,0.31629393,,,,,,,,
Chart-15-incorrect-1624652314263,INCORRECT,0.0625,,,,,,,,
Chart-15-incorrect-1624652314274,INCORRECT,0.170731707,,,,,,,,
Chart-15-incorrect-1624652314264,INCORRECT,0.31629393,,,,,,,,
Chart-15-incorrect-1624652314275,INCORRECT,0.333333333,,,,,,,,
Chart-15-incorrect-1624652314276,INCORRECT,0.333333333,,,,,,,,
Chart-15-incorrect-1624652314266,INCORRECT,0.333333333,,,,,,,,
Chart-15-incorrect-1624652314277,INCORRECT,0.333333333,,,,,,,,
Chart-15-incorrect-1624652314267,INCORRECT,0.333333333,,,,,,,,
Chart-17-incorrect-1624652314281,INCORRECT,0.094117647,,,,,,,,
Chart-17-incorrect-1624652314279,INCORRECT,0.08974359,,,,,,,,
Chart-18-incorrect-1628244108376,INCORRECT,0.5,,,,,,,,
Chart-19-incorrect-1624652314287,INCORRECT,0.134831461,,,,,,,,
Chart-19-incorrect-1624652314288,INCORRECT,0.127917834,,,,,,,,
Chart-21-incorrect-1624652314219,INCORRECT,0.260154739,,,,,,,,
Chart-21-incorrect-1624652314220,INCORRECT,0.260154739,,,,,,,,
Chart-21-incorrect-1624652314221,INCORRECT,0.260154739,,,,,,,,
Chart-24-incorrect-1624652314186,INCORRECT,0.5,,,,,,,,
Chart-25-incorrect-1624652314204,INCORRECT,0.260273973,,,,,,,,
Chart-25-incorrect-1624652314203,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314206,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314205,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314207,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314195,INCORRECT,0.636363636,,,,,,,,
Chart-25-incorrect-1624652314187,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314198,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314200,INCORRECT,0.28,,,,,,,,
Chart-25-incorrect-1628244108345,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1624652314188,INCORRECT,0.279069767,,,,,,,,
Chart-25-incorrect-1624652314199,INCORRECT,0.28,,,,,,,,
Chart-25-incorrect-1628244108344,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1628244108343,INCORRECT,0.279069767,,,,,,,,
Chart-25-incorrect-1624652314201,INCORRECT,0.636363636,,,,,,,,
Chart-25-incorrect-1628244108348,INCORRECT,0.636363636,,,,,,,,
Chart-25-incorrect-1624652314190,INCORRECT,0.636363636,,,,,,,,
Chart-25-incorrect-1628244108347,INCORRECT,0.333333333,,,,,,,,
Chart-25-incorrect-1628244108346,INCORRECT,0.279069767,,,,,,,,
Chart-25-incorrect-1624652314192,INCORRECT,0.636363636,,,,,,,,
Chart-25-incorrect-1624652314191,INCORRECT,0.636363636,,,,,,,,
Chart-25-incorrect-1624652314194,INCORRECT,0.333333333,,,,,,,,
Chart-26-incorrect-1628244108349,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314215,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314216,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314213,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314208,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314209,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314217,INCORRECT,0.267973856,,,,,,,,
Chart-26-incorrect-1624652314218,INCORRECT,0.267973856,,,,,,,,
Chart-26-incorrect-1628244108350,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314211,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314212,INCORRECT,0.47826087,,,,,,,,
Chart-26-incorrect-1624652314210,INCORRECT,0.606837607,,,,,,,,
Chart-3-incorrect-1624652313200,INCORRECT,0.134328358,,,,,,,,
Chart-3-incorrect-1624652313201,INCORRECT,0.165662651,,,,,,,,
Chart-3-incorrect-1624652313203,INCORRECT,0.165662651,,,,,,,,
Chart-3-incorrect-1624652313205,INCORRECT,0.071428571,,,,,,,,
Chart-3-incorrect-1624652313198,INCORRECT,0.134328358,,,,,,,,
Chart-3-incorrect-1624652313199,INCORRECT,0.166666667,,,,,,,,
Chart-5-incorrect-1628244107960,INCORRECT,0,,,,,,,,
Chart-5-incorrect-1628244107961,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1628244107962,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313218,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313219,INCORRECT,0,,,,,,,,
Chart-5-incorrect-1624652313210,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313221,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313220,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313212,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313223,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313211,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313214,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313213,INCORRECT,0.03125,,,,,,,,
Chart-5-incorrect-1624652313216,INCORRECT,0,,,,,,,,
Chart-5-incorrect-1624652313215,INCORRECT,0.03125,,,,,,,,
Chart-6-incorrect-1624652313207,INCORRECT,0.5,,,,,,,,
Chart-6-incorrect-1624652313208,INCORRECT,0.5,,,,,,,,
Chart-6-incorrect-1628244107956,INCORRECT,0.5,,,,,,,,
Chart-7-incorrect-1624652313252,INCORRECT,0.384615385,,,,,,,,
Chart-7-incorrect-1624652313251,INCORRECT,0.24691358,,,,,,,,
Chart-7-incorrect-1624652313254,INCORRECT,0.24691358,,,,,,,,
Chart-7-incorrect-1624652313256,INCORRECT,0.24691358,,,,,,,,
Chart-7-incorrect-1624652313255,INCORRECT,0.384615385,,,,,,,,
Chart-7-incorrect-1624652313257,INCORRECT,0.243902439,,,,,,,,
Chart-7-incorrect-1628244107981,INCORRECT,0.384615385,,,,,,,,
Chart-7-incorrect-1628244107966,INCORRECT,0.24691358,,,,,,,,
Chart-7-incorrect-1628244107964,INCORRECT,0.384615385,,,,,,,,
Chart-9-incorrect-1624652313262,INCORRECT,0.113636364,,,,,,,,
Chart-9-incorrect-1624652313263,INCORRECT,0.113636364,,,,,,,,
Chart-9-incorrect-1624652313260,INCORRECT,0.087719298,,,,,,,,
Chart-9-incorrect-1624652313261,INCORRECT,0.113636364,,,,,,,,
Chart-9-incorrect-1624652313259,INCORRECT,0.087719298,,,,,,,,
Chart-9-incorrect-1628244107985,INCORRECT,0.113636364,,,,,,,,
Chart-9-incorrect-1628244107983,INCORRECT,0.113636364,,,,,,,,
