Id,ArgumentPropagationMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,ConditionalsBoundaryMutator,ConstructorCallMutator,EmptyObjectReturnValsMutator,IncrementsMutator,InlineConstantMutator,InvertNegsMutator,MathMutator,MemberVariableMutator,NakedReceiverMutator,NegateConditionalsMutator,NonVoidMethodCallMutator,NullReturnValsMutator,PrimitiveReturnsMutator,RemoveConditionalMutator_EQUAL_ELSE,RemoveConditionalMutator_EQUAL_IF,RemoveConditionalMutator_ORDER_ELSE,RemoveConditionalMutator_ORDER_IF,RemoveIncrementsMutator,RemoveSwitchMutator_0,RemoveSwitchMutator_1,RemoveSwitchMutator_10,RemoveSwitchMutator_11,RemoveSwitchMutator_12,RemoveSwitchMutator_13,RemoveSwitchMutator_14,RemoveSwitchMutator_15,RemoveSwitchMutator_16,RemoveSwitchMutator_17,RemoveSwitchMutator_18,RemoveSwitchMutator_19,RemoveSwitchMutator_2,RemoveSwitchMutator_20,RemoveSwitchMutator_21,RemoveSwitchMutator_22,RemoveSwitchMutator_23,RemoveSwitchMutator_24,RemoveSwitchMutator_25,RemoveSwitchMutator_26,RemoveSwitchMutator_27,RemoveSwitchMutator_28,RemoveSwitchMutator_29,RemoveSwitchMutator_3,RemoveSwitchMutator_30,RemoveSwitchMutator_31,RemoveSwitchMutator_32,RemoveSwitchMutator_33,RemoveSwitchMutator_34,RemoveSwitchMutator_35,RemoveSwitchMutator_36,RemoveSwitchMutator_37,RemoveSwitchMutator_38,RemoveSwitchMutator_39,RemoveSwitchMutator_4,RemoveSwitchMutator_40,RemoveSwitchMutator_41,RemoveSwitchMutator_42,RemoveSwitchMutator_43,RemoveSwitchMutator_44,RemoveSwitchMutator_45,RemoveSwitchMutator_46,RemoveSwitchMutator_47,RemoveSwitchMutator_48,RemoveSwitchMutator_49,RemoveSwitchMutator_5,RemoveSwitchMutator_50,RemoveSwitchMutator_51,RemoveSwitchMutator_52,RemoveSwitchMutator_53,RemoveSwitchMutator_54,RemoveSwitchMutator_55,RemoveSwitchMutator_56,RemoveSwitchMutator_57,RemoveSwitchMutator_58,RemoveSwitchMutator_59,RemoveSwitchMutator_6,RemoveSwitchMutator_60,RemoveSwitchMutator_61,RemoveSwitchMutator_62,RemoveSwitchMutator_63,RemoveSwitchMutator_64,RemoveSwitchMutator_65,RemoveSwitchMutator_66,RemoveSwitchMutator_67,RemoveSwitchMutator_68,RemoveSwitchMutator_69,RemoveSwitchMutator_7,RemoveSwitchMutator_70,RemoveSwitchMutator_71,RemoveSwitchMutator_72,RemoveSwitchMutator_73,RemoveSwitchMutator_74,RemoveSwitchMutator_75,RemoveSwitchMutator_76,RemoveSwitchMutator_77,RemoveSwitchMutator_78,RemoveSwitchMutator_79,RemoveSwitchMutator_8,RemoveSwitchMutator_80,RemoveSwitchMutator_81,RemoveSwitchMutator_82,RemoveSwitchMutator_83,RemoveSwitchMutator_84,RemoveSwitchMutator_85,RemoveSwitchMutator_86,RemoveSwitchMutator_87,RemoveSwitchMutator_88,RemoveSwitchMutator_89,RemoveSwitchMutator_9,RemoveSwitchMutator_90,RemoveSwitchMutator_91,RemoveSwitchMutator_92,RemoveSwitchMutator_93,RemoveSwitchMutator_94,RemoveSwitchMutator_95,RemoveSwitchMutator_96,RemoveSwitchMutator_97,RemoveSwitchMutator_98,RemoveSwitchMutator_99,ReturnValsMutator,SwitchMutator,VoidMethodCallMutator,Label
cdetect-cycle-1,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,CORRECT
idfs-18,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-48,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-26,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-16,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-38,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-14,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-58,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-36,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
idfs-22,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,INCORRECT
